"url","judul","narasi","label","clean_text"
"https://health.detik.com/berita-detikhealth/d-8467363/ciri-ciri-urine-yang-bisa-jadi-tanda-kerusakan-ginjal-di-usia-muda","Ciri-ciri Urine yang Bisa Jadi Tanda Kerusakan Ginjal di Usia Muda","Perubahan pada urine ternyata bisa menjadi sinyal awal adanya gangguan ginjal. Sebab, ginjal bekerja menyaring darah, membuang racun, dan menjaga keseimbangan cairan tubuh. Ketika fungsi ginjal mulai terganggu, tanda-tandanya kerap lebih dulu terlihat saat buang air kecil. Hal ini yang perlu diperhatikan untuk mendeteksi lebih dini gangguan pada ginjal. Ahli urologi di Ruby Hall Clinic, India, Dr Bhati Singh Bhoopat, mengatakan perubahan kecil yang terus berulang pada urine sebaiknya tidak diabaikan. Hal senada juga disampaikan Dr Varun Mittal dari Artemis Hospitals. SCROLL TO CONTINUE WITH CONTENT ""Salah satu tanda pertama dan paling jelas bahwa ginjal tidak berfungsi dengan baik sering terlihat pada urine,"" ujar Dr Mittal, dikutip dari Times of India. Berikut beberapa perubahan urine yang bisa menjadi tanda awal kerusakan ginjal:","0","perubahan pada urine ternyata bisa menjadi sinyal awal adanya gangguan ginjal. sebab, ginjal bekerja menyaring darah, membuang racun, dan menjaga keseimbangan cairan tubuh. ketika fungsi ginjal mulai terganggu, tanda tandanya kerap lebih dulu terlihat saat buang air kecil. hal ini yang perlu diperhatikan untuk mendeteksi lebih dini gangguan pada ginjal. ahli urologi di ruby hall clinic, india, dr bhati singh bhoopat, mengatakan perubahan kecil yang terus berulang pada urine sebaiknya tidak diabaikan. hal senada juga disampaikan dr varun mittal dari artemis hospitals. salah satu tanda pertama dan paling jelas bahwa ginjal tidak berfungsi dengan baik sering terlihat pada urine, ujar dr mittal, times of india. berikut beberapa perubahan urine yang bisa menjadi tanda awal kerusakan ginjal"
"https://health.detik.com/berita-detikhealth/d-8467365/jabodetabek-panas-mendidih-catat-tips-dari-kemenkes-biar-tak-kena-heatstroke","Jabodetabek Panas 'Mendidih', Catat Tips dari Kemenkes Biar Tak Kena Heatstroke","Beberapa hari terakhir, warga di Jabodetabek dilanda cuaca lebih panas dari biasanya. Badan Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) menyebut suhu udara di Jabodetabek memang mengalami peningkatan signifikan. Prakirawan cuaca BMKG Rira Damanik mengungkapkan suhu maksimum terpantau mencapai 35 hingga 36 derajat Celsius, terutama di wilayah Jakarta Utara dan sekitarnya. ""Dalam beberapa hari terakhir, kondisi cuaca cerah mendominasi sejak pagi hingga siang hari, sehingga suhu terasa cukup terik,"" ujar Rira kepada detikcom Senin (27/4/2026). SCROLL TO CONTINUE WITH CONTENT Kondisi cuaca yang sangat panas ini membuat warga rawan mengalami masalah kesehatan, seperti dehidrasi, heat stress atau kelelahan, hingga heat stroke akibat panas.","0","beberapa hari terakhir, warga di jabodetabek dilanda cuaca lebih panas dari biasanya. badan badan meteorologi, klimatologi, dan geofisika bmkg menyebut suhu udara di jabodetabek memang mengalami peningkatan signifikan. prakirawan cuaca bmkg rira damanik mengungkapkan suhu maksimum terpantau mencapai 35 hingga 36 derajat celsius, terutama di wilayah jakarta utara dan sekitarnya. dalam beberapa hari terakhir, kondisi cuaca cerah mendominasi sejak pagi hingga siang hari, sehingga suhu terasa cukup terik, ujar rira kepada senin 27 4 2026 . kondisi cuaca yang sangat panas ini membuat warga rawan mengalami masalah kesehatan, seperti dehidrasi, heat stress atau kelelahan, hingga heat stroke akibat panas."
"https://health.detik.com/berita-detikhealth/d-8467975/cisdi-klaim-9-dari-10-makanan-kemasan-di-ri-tinggi-gula-garam-lemak","CISDI Klaim 9 dari 10 Makanan Kemasan di RI Tinggi Gula, Garam, Lemak","Mayoritas produk makanan dan minuman kemasan yang beredar di Indonesia ternyata belum sehat. Studi terbaru mengungkap, 9 dari 10 produk mengandung gula, garam, atau lemak (GGL) berlebih, bahkan sebagian besar mengandung pemanis non-gula yang berisiko jika dikonsumsi terus-menerus dalam jangka panjang. Temuan ini berasal dari studi pengujian Model Profil Gizi (Nutrient Profile Models/NPM) yang dilakukan CISDI bersama Center for Health and Nutrition Education, Counseling, and Empowerment (CHeNECE) di Universitas Airlangga. Penelitian tersebut menganalisis 8.077 sampel produk makanan dan minuman kemasan yang dikumpulkan dari delapan supermarket serta minimarket di Jakarta, Surabaya, Medan, dan Makassar. SCROLL TO CONTINUE WITH CONTENT Hasilnya cukup mencengangkan.","0","mayoritas produk makanan dan minuman kemasan yang beredar di indonesia ternyata belum sehat. studi terbaru mengungkap, 9 dari 10 produk mengandung gula, garam, atau lemak ggl berlebih, bahkan sebagian besar mengandung pemanis non gula yang berisiko jika dikonsumsi terus menerus dalam jangka panjang. temuan ini berasal dari studi pengujian model profil gizi nutrient profile models npm yang dilakukan cisdi bersama center for health and nutrition education, counseling, and empowerment chenece di universitas airlangga. penelitian tersebut menganalisis 8.077 sampel produk makanan dan minuman kemasan yang dikumpulkan dari delapan supermarket serta minimarket di jakarta, surabaya, medan, dan makassar. hasilnya cukup mencengangkan."
"https://health.detik.com/berita-detikhealth/d-8467359/pakar-prediksi-el-nino-super-di-2026-bisa-seserius-ini-efeknya","Pakar Prediksi El Nino 'Super' di 2026, Bisa Seserius Ini Efeknya","Para ilmuwan dan ahli di bidang iklim tengah memantau ketat kondisi El Nino yang berkembang di Samudra Pasifik. Fenomena ini berpotensi memicu lonjakan suhu dan menembus rekor panas global dalam waktu dekat. Meski terlalu dini untuk memastikan gambaran lengkap dari fenomena ini, sejumlah tanda sudah menunjukkan El Nino 'super' bisa berkembang tahun ini. Dengan bantuan beberapa model, fenomena El Nino ini bisa menjadi salah satu yang terkuat yang pernah tercatat. Dikombinasikan dengan pemanasan akibat krisis iklim yang dipicu aktivitas manusia, kondisi ini menempatkan dunia pada jalur untuk sekali lagi melampaui ambang kritis kenaikan suhu rata-rata 1,5 derajat celsius di atas tingkat pra-industri. SCROLL TO CONTINUE WITH CONTENT Pada beberapa model bahkan menunjukkan anomali suhu yang bisa melampaui 2 derajat celsius untuk pertama kalinya dalam pencatatan sejarah.","0","para ilmuwan dan ahli di bidang iklim tengah memantau ketat kondisi el nino yang berkembang di samudra pasifik. fenomena ini berpotensi memicu lonjakan suhu dan menembus rekor panas global dalam waktu dekat. meski terlalu dini untuk memastikan gambaran lengkap dari fenomena ini, sejumlah tanda sudah menunjukkan el nino super bisa berkembang tahun ini. dengan bantuan beberapa model, fenomena el nino ini bisa menjadi salah satu yang terkuat yang pernah tercatat. dikombinasikan dengan pemanasan akibat krisis iklim yang dipicu aktivitas manusia, kondisi ini menempatkan dunia pada jalur untuk sekali lagi melampaui ambang kritis kenaikan suhu rata rata 1,5 derajat celsius di atas tingkat pra industri. pada beberapa model bahkan menunjukkan anomali suhu yang bisa melampaui 2 derajat celsius untuk pertama kalinya dalam pencatatan sejarah."
"https://health.detik.com/berita-detikhealth/d-8468059/cerita-korban-kecelakaan-ka-bekasi-yang-jalani-operasi-limpa","Cerita Korban Kecelakaan KA Bekasi yang Jalani Operasi Limpa","Insiden tabrakan antara KA Argo Bromo Anggrek dan KRL Commuter Line di Bekasi Timur tidak hanya menyisakan duka, tetapi juga perjuangan panjang bagi para korban selamat. Salah satunya bernama Sariyati (63), yang harus menjalani operasi pengangkatan limpa di RSUD Bekasi pada Rabu (29/4). Sariyati merupakan salah satu korban pada insiden malam itu. ""Kondisi ibunya (Sariyati) kemarin telah dilakukan operasi ya pengangkatan lien (limpa) karena organ dalamnya itu ada beberapa bagian yang hancur seperti itu,"" kata Nia, relawan pendamping pasien dikutip dari Antara, Kamis (30/4/2026). SCROLL TO CONTINUE WITH CONTENT ""Saat ini sudah sadar, tapi masih dalam pemulihan. Sudah masuk ke ruang rawat sih,"" sambungnya. Di Bekasi, Sariyati diketahui tidak memiliki keluarga yang bisa ikut mendampingi dirinya.","0","insiden tabrakan antara ka argo bromo anggrek dan krl commuter line di bekasi timur tidak hanya menyisakan duka, tetapi juga perjuangan panjang bagi para korban selamat. salah satunya bernama sariyati 63 , yang harus menjalani operasi pengangkatan limpa di rsud bekasi pada rabu 29 4 . sariyati merupakan salah satu korban pada insiden malam itu. kondisi ibunya sariyati kemarin telah dilakukan operasi ya pengangkatan lien limpa karena organ dalamnya itu ada beberapa bagian yang hancur seperti itu, kata nia, relawan pendamping pasien antara, kamis 30 4 2026 . saat ini sudah sadar, tapi masih dalam pemulihan. sudah masuk ke ruang rawat sih, sambungnya. di bekasi, sariyati diketahui tidak memiliki keluarga yang bisa ikut mendampingi dirinya."
"https://hot.detik.com/celeb/d-8468020/erin-lapor-balik-terkait-fitnah-gegara-tak-terima-dituduh-aniaya-art","Erin Lapor Balik Terkait Fitnah Gegara Tak Terima Dituduh Aniaya ART","Rien Wartia Trigina alias Erin mengambil langkah hukum tegas setelah dituding melakukan penganiayaan terhadap asisten rumah tangga (ART). Mantan istri Andre Taulany ini mendatangi Polres Metro Jakarta Selatan untuk melaporkan balik pihak-pihak yang dianggap telah menyebarkan fitnah dan pencemaran nama baik di media sosial. Tim kuasa hukum Erin menyatakan narasi kekerasan yang beredar luas di publik adalah sebuah kebohongan besar. Laporan kepolisian ini diajukan untuk memulihkan nama baik kliennya yang merasa dirugikan secara moril atas pemberitaan tersebut. ""Malam ini kita melaporkan karena adanya laporan dari pencemaran nama baik dan fitnah dari klien kami, yang mana dalam hal ini Mbak Erin dikatakan melakukan penganiayaan, kekerasan, padahal tidak benar itu semua.","0","rien wartia trigina alias erin mengambil langkah hukum tegas setelah dituding melakukan penganiayaan terhadap asisten rumah tangga art . mantan istri andre taulany ini mendatangi polres metro jakarta selatan untuk melaporkan balik pihak pihak yang dianggap telah menyebarkan fitnah dan pencemaran nama baik di media sosial. tim kuasa hukum erin menyatakan narasi kekerasan yang beredar luas di publik adalah sebuah kebohongan besar. laporan kepolisian ini diajukan untuk memulihkan nama baik kliennya yang merasa dirugikan secara moril atas pemberitaan tersebut. malam ini kita melaporkan karena adanya laporan dari pencemaran nama baik dan fitnah dari klien kami, yang mana dalam hal ini mbak erin dikatakan melakukan penganiayaan, kekerasan, padahal tidak benar itu semua."
"https://hot.detik.com/celeb/d-8467887/janji-ustaz-pakai-jas-vidi-aldiano-untuk-100-hari-tahajud","Janji Ustaz Pakai Jas Vidi Aldiano untuk 100 Hari Tahajud","Jakarta - Seorang ustaz mendapat salah satu jas peninggalan Vidi Aldiano. Ini dia jas milik Vidi yang dipakai untuk 100 hari tahajud.","0","seorang ustaz mendapat salah satu jas peninggalan vidi aldiano. ini dia jas milik vidi yang dipakai untuk 100 hari tahajud."
"https://hot.detik.com/celeb/d-8467064/pengacara-soal-rumor-gaji-reza-gladys-rp-6-7-m-per-bulan","Pengacara soal Rumor Gaji Reza Gladys Rp 6,7 M per Bulan","Pengacara Reza Gladys , meminta agar publik tidak terpengaruh narasi yang dibangun seolah-olah kliennya menerima upah bulanan sebesar Rp 6,7 miliar dari perusahaan. Menurut mereka, data yang tertera pada rekening transaksi merupakan bukti omzet penjualan murni dari aktivitas perdagangan di media sosial. ""Bukan gaji, tapi penghasilan dari TikTok dan Shopee, hasil penjualan,"" tegas Surya Batubara lagi saat ditemui di kawasan Jakarta Selatan, Rabu (29/4/2026). Selain masalah penghasilan, pihak tergugat juga mengklarifikasi volume penjualan produk Glowing Booster Cell yang menjadi objek sengketa. SCROLL TO CONTINUE WITH CONTENT Berdasarkan keterangan saksi dan data perusahaan, produk tersebut hanya terjual sebanyak 165 unit melalui platform TikTok dan Shopee, sekaligus membantah klaim adanya ribuan produk yang laku di pasaran.","0","pengacara reza gladys , meminta agar publik tidak terpengaruh narasi yang dibangun seolah olah kliennya menerima upah bulanan sebesar rp 6,7 miliar dari perusahaan. menurut mereka, data yang tertera pada rekening transaksi merupakan bukti omzet penjualan murni dari aktivitas perdagangan di media sosial. bukan gaji, tapi penghasilan dari tiktok dan shopee, hasil penjualan, tegas surya batubara lagi saat ditemui di kawasan jakarta selatan, rabu 29 4 2026 . selain masalah penghasilan, pihak tergugat juga mengklarifikasi volume penjualan produk glowing booster cell yang menjadi objek sengketa. berdasarkan keterangan saksi dan data perusahaan, produk tersebut hanya terjual sebanyak 165 unit melalui platform tiktok dan shopee, sekaligus membantah klaim adanya ribuan produk yang laku di pasaran."
"https://hot.detik.com/celeb/d-8467542/elma-theana-curiga-ada-dalang-di-balik-hoax-cerai-sonny-septian-fairuz-a-rafiq","Elma Theana Curiga Ada Dalang di Balik Hoax Cerai Sonny Septian-Fairuz A Rafiq","Aktris Elma Theana , meyakini rentetan hoax perceraian yang menimpa rumah tangga Sonny Septian dan Fairuz A Rafiq, bukanlah sekadar aksi iseng tanpa tujuan. Ia menduga kuat, ada pihak tertentu yang sengaja menjadi dalang di balik penyebaran informasi palsu tersebut untuk melakukan pembunuhan karakter terhadap adiknya. Baginya, konten yang beredar di media sosial terlihat sangat terencana dengan narasi yang sengaja menyudutkan Sonny Septian secara personal. Hal inilah, yang memicu kecurigaan keluarga besar ada seseorang yang membayar atau memerintahkan pembuatan konten-konten menyesatkan tersebut demi kepentingan tertentu. ""Jangan-jangan iseng gitu dia bikinnya gitu nih, kenapa harus pembunuhan karakter ke adik saya ini kan pasti ada yang nyuruh nih gitu kan.","0","aktris elma theana , meyakini rentetan hoax perceraian yang menimpa rumah tangga sonny septian dan fairuz a rafiq, bukanlah sekadar aksi iseng tanpa tujuan. ia menduga kuat, ada pihak tertentu yang sengaja menjadi dalang di balik penyebaran informasi palsu tersebut untuk melakukan pembunuhan karakter terhadap adiknya. baginya, konten yang beredar di media sosial terlihat sangat terencana dengan narasi yang sengaja menyudutkan sonny septian secara personal. hal inilah, yang memicu kecurigaan keluarga besar ada seseorang yang membayar atau memerintahkan pembuatan konten konten menyesatkan tersebut demi kepentingan tertentu. jangan jangan iseng gitu dia bikinnya gitu nih, kenapa harus pembunuhan karakter ke adik saya ini kan pasti ada yang nyuruh nih gitu kan."
"https://hot.detik.com/celeb/d-8467564/reza-gladys-yakin-menang-lawan-nikita-mirzani","Reza Gladys Yakin Menang Lawan Nikita Mirzani","Persidangan antara Nikita Mirzani dan dokter Reza Gladys, memasuki babak akhir di Pengadilan Negeri Jakarta Selatan. Dalam agenda penyerahan bukti tambahan, tim kuasa hukum Reza Gladys menyatakan, optimisme tinggi terkait gugatan balik atau rekonvensi yang mereka ajukan terhadap Nikita Mirzani dan sahabatnya, Ismail Marzuki. Reza Gladys selaku tergugat, mengeklaim telah menyerahkan bukti krusial berupa putusan Mahkamah Agung yang sudah berkekuatan hukum tetap atau inkrah. Bukti tersebut menunjukkan, Nikita Mirzani secara sah dan meyakinkan terbukti melakukan tindak pidana pemerasan, yang menjadi dasar utama dalam tuntutan ganti rugi materiil dalam persidangan perdata ini. SCROLL TO CONTINUE WITH CONTENT ""Kami buktikan, 'Ini lo perbuatan Nikita meminta uang Rp 4 M. Ini perbuatannya!' Hukumnya kami kasih tahu, pasal sekian, pasal sekian, pasal sekian pidana.","0","persidangan antara nikita mirzani dan dokter reza gladys, memasuki babak akhir di pengadilan negeri jakarta selatan. dalam agenda penyerahan bukti tambahan, tim kuasa hukum reza gladys menyatakan, optimisme tinggi terkait gugatan balik atau rekonvensi yang mereka ajukan terhadap nikita mirzani dan sahabatnya, ismail marzuki. reza gladys selaku tergugat, mengeklaim telah menyerahkan bukti krusial berupa putusan mahkamah agung yang sudah berkekuatan hukum tetap atau inkrah. bukti tersebut menunjukkan, nikita mirzani secara sah dan meyakinkan terbukti melakukan tindak pidana pemerasan, yang menjadi dasar utama dalam tuntutan ganti rugi materiil dalam persidangan perdata ini. kami buktikan, ini lo perbuatan nikita meminta uang rp 4 m. ini perbuatannya hukumnya kami kasih tahu, pasal sekian, pasal sekian, pasal sekian pidana."
